code,nom,marque,programme_marketing,genre,technique,niveau_source,niveau,usage_cible,style_classique_cible,distance_competition_cible,tailles_dispo,size_136,size_143,size_153,size_163,size_168,size_173,size_174,size_178,size_180,size_181,size_183,size_186,size_187,size_188,size_190,size_192,size_193,size_197,size_202,size_207,glisse_max,accroche_classique,maniabilite,stabilite,tolerance,rigidite,nervosite,renvoi_dynamique,sensation_facile,sensation_dynamique,sensation_rigide,sensation_stable_haute_vitesse,sensation_polyvalent,neige_froide,neige_polyvalente,neige_humide,plaisir,confort,progression_technique,performance_chrono,podium_competition,notes
RHOZI01,XP 85 POSITRACK,Rossignol,A03 - FREE,U,Classique,Confirmé,Intermédiaire,Plaisir,Alternatif + double poussée,,"165,175,185,195",,,,,40-60,,50-70,,,,,60-80,,,,,80+,,,,,,,,,,,,,,,,,,,,,,,,,
RHOZI02,XP 85 POSI - XPLORE -PREMOUNT,Rossignol,A03 - FREE,U,Classique,,Intermédiaire,Plaisir,,,"165,175,185,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHOZJ01,XP 105 POSITRACK,Rossignol,A03 - FREE,U,Classique,Confirmé,Intermédiaire,Plaisir,Alternatif + double poussée,,"160,170,180,190",,,,40-60,50-70,,,,,60-80,,,,,80+,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHOZJ02,XP 105 POSI - XPLORE-PREMOUNT,Rossignol,A03 - FREE,U,Classique,,Intermédiaire,Plaisir,,,"160,170,180,190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHPCP01,X-IUM CLASSIC,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"186,191,198,203,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHPCP02,X-IUM R-SKIN,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,Alternatif + double poussée,,"186,191,198,203,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHPCQ01,X-IUM SKATING,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,"173,180,186,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHPCT01,R-SKIN ULTRA,Rossignol,A01 - RACE,Mixte,Classique,,Confirmé,Performance,Alternatif + double poussée,,"176,181,186,191,196,201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHPCT03,R-SKIN ULTRA STIFF,Rossignol,A01 - RACE,Mixte,Classique,,Confirmé,Performance,Alternatif + double poussée,,"176,181,186,191,196,201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHPCU03,X-IUM SKATING PREMIUM+S2 STIFF,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,"183,188,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHPCU04,X-IUM SKATING PREMIUM+ S1,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,"178,183,188,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHPCU07,X-IUM SKATING PREMIUM+ S2,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,"173,178,183,188,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHPCV01,X-IUM R-SKIN STIFF,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,Alternatif + double poussée,,"186,191,198,203,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHPCY01,X-IUM SKATING WCS+,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,"168,174,181,187,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHPCZ03,X-IUM SKATING PREMIUM+ S3,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,"178,183,188,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHPCZ04,X-IUM SKATING PREMIUM+ SX,Rossignol,A01 - RACE,Mixte,Skating,,Compétiteur,Course,,,"173,178,183,188,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHPCZ06,X-IUM  PREMIUM+ DP,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHPYE01,X-IUM CLASSIC PREMIUM+ C1,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"197,202,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHPYE02,X-IUM CLASSIC PREMIUM+ C2,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"190,197,202,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHPYE04,X-IUM CLASSIC PREMIUM+C2 STIFF,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"197,202,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHPYE05,X-IUM CLASSIC PREMIUM+ C3,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"197,202,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHPYE06,X-IUM PREMIUM+ R-SKIN,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,Alternatif + double poussée,,"197,202,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHPZH01,XP 120 POSITRACK 2.0,Rossignol,A03 - FREE,Mixte,Classique,,Intermédiaire,Plaisir,Alternatif + double poussée,,"160,170,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
